Date_Time_Hour_Beginning,Thermal_Gen_Excl_Pumping_and_SCO,Eskom_OCGT_SCO_Pumping,Eskom_Gas_SCO_Pumping,Hydro_Water_SCO_Pumping,Pumped_Water_SCO_Pumping,Thermal_Generation,Nuclear_Generation,International_Imports,Eskom_OCGT_Generation,Eskom_Gas_Generation,Dispatchable_IPP_OCGT,Hydro_Water_Generation,Pumped_Water_Generation,IOS_Excl_ILS_and_MLR,ILS_Usage,Manual_Load_Reduction_MLR,Wind,PV,CSP,Other_RE
2022-03-15 06:00:00,21956.668000000001,-5.3319999999999999,-2,0,-12,21976,913,1210,166,0,981.59400000000005,603,447,0,0,0,1004.349,27.074000000000002,0,20.196000000000002
2022-03-15 00:00:00,18010.800999999999,-5.1989999999999998,-2,0,-1734,19752,911,981,0,0,0,603,0,0.90000000000000002,0,0,1284.4880000000001,0,0,19.558
2022-03-15 01:00:00,18193.800999999999,-5.1989999999999998,-2,0,-2151,20352,912,967,0,0,0,603,0,2,0,0,1116.1990000000001,0,0,19.902999999999999
2022-03-15 02:00:00,18072.668000000001,-5.3319999999999999,-2,0,-1781,19861,912,986,0,0,0,603,0,1.367,0,0,1022.092,0,0,20.358000000000001
2022-03-15 03:00:00,18188.067999999999,-4.9320000000000004,-2,0,-1723,19918,912,1016,0,0,0,603,0,0,0,0,1000.105,0,0,20.443000000000001
2022-03-15 04:00:00,19348.800999999999,-5.1989999999999998,-2,0,-1732,21088,913,1189,0,0,0,603,0,0,0,0,1040.5050000000001,0,0,20.048999999999999
2022-03-15 05:00:00,21373.935000000001,-5.0650000000000004,-2,0,-421,21802,913,1197,0,0,372.459,603,8,0,0,0,1021.922,0,0,19.77
2022-03-15 06:00:00,21956.668000000001,-5.3319999999999999,-2,0,-12,21976,913,1210,166,0,981.59400000000005,603,447,0,0,0,1004.349,27.074000000000002,0,20.196000000000002
2022-03-15 07:00:00,22078.935000000001,-5.0650000000000004,-2,0,-13,22099,914,1206,23,0,724.11800000000005,603,97,0,0,0,858.32799999999997,505.11099999999999,47.433,20.802
2022-03-15 08:00:00,22338.800999999999,-5.1989999999999998,-2,0,-13,22359,914,1197,0,0,40.116,603,564,0,0,0,612.18899999999996,1126.02,251.70400000000001,20.946999999999999
2022-03-15 09:00:00,22367.800999999999,-5.1989999999999998,-2,0,-14,22389,914,1214,0,0,0,603,293,0,0,0,458.12099999999998,1436.2860000000001,489.90600000000001,20.896000000000001
2022-03-15 10:00:00,21574.935000000001,-5.0650000000000004,-2,0,-10,21592,913,1220,0,0,0,603,448,0,0,0,369.85300000000001,1646.502,493.57499999999999,18.834
2022-03-15 11:00:00,21448.415000000001,-5.0650000000000004,-2,0,-15,21470.48,913,1208,0,0,0.14999999999999999,603,807,0,0,0,225.47499999999999,1809.443,493.90300000000002,18.18
2022-03-15 12:00:00,21350.935000000001,-5.0650000000000004,-2,0,-19,21377,913,1224,0,0,0,603,875,0,0,0,132.53999999999999,1786.9259999999999,492.01900000000001,18.239999999999998
2022-03-15 13:00:00,21274.935000000001,-5.0650000000000004,-2,0,-18,21300,913,1218,0,0,0,603,738,0,0,0,163.56399999999999,1815.04,498.86000000000001,20.649000000000001
2022-03-15 14:00:00,21186.935000000001,-5.0650000000000004,-2,0,-13,21207,914,1207,0,0,0,603,976,0,0,0,275.84800000000001,1737.806,499.84699999999998,20.678999999999998
2022-03-15 15:00:00,21249.201000000001,-4.7990000000000004,-2,0,-13,21269,914,1223,0,0,0,603,1358,0,0,0,410.447,1570.423,500.17099999999999,20.741
2022-03-15 16:00:00,21539.935000000001,-5.0650000000000004,-2,0,-7,21554,913,1244,0,0,125.044,603,1681,0,0,0,499.15100000000001,1304.364,500.30500000000001,20.898
2022-03-15 17:00:00,21683.935000000001,-5.0650000000000004,-2,0,-9,21700,913,1227,0,0,895.10699999999997,603,1516,0,0,0,669.58500000000004,772.13599999999997,486.16300000000001,20.847000000000001
2022-03-15 18:00:00,21856.133999999998,-3.8660000000000001,-2,0,-2,21864,913,1154,175,0,958.69000000000005,603,2181,227,0,0,806.52300000000002,98.653999999999996,437.51799999999997,20.809000000000001
2022-03-15 19:00:00,21923.800999999999,-3.1989999999999998,-2,0,-5,21934,914,1167,382,0,965.76499999999999,603,1769,228.80000000000001,0,0,1057.9010000000001,0,415.714,20.779
2022-03-15 20:00:00,21975.867999999999,-4.1319999999999997,-2,0,-139,22121,914,1138,122,0,815.78899999999999,603,197,3,0,0,1173.9459999999999,0,415.15499999999997,20.77
2022-03-15 21:00:00,20818.800999999999,-5.1989999999999998,-2,0,-1385,22211,914,1146,0,0,15.612,603,0,3,0,0,1246.961,0,400.76600000000002,20.762
2022-03-15 22:00:00,19488.935000000001,-5.0650000000000004,-2,0,-2254,21750,914,1096,0,0,0,603,0,3,0,0,1102.739,0,117.06,20.559999999999999
2022-03-15 23:00:00,18913.800999999999,-5.1989999999999998,-2,0,-2427,21348,913,906,0,0,0,603,0,2.25,0,0,1010.379,0,48.923000000000002,19.774999999999999
2022-03-15 07:00:00,22078.935000000001,-5.0650000000000004,-2,0,-13,22099,914,1206,23,0,724.11800000000005,603,97,0,0,0,858.32799999999997,505.11099999999999,47.433,20.802
2022-03-15 08:00:00,22338.800999999999,-5.1989999999999998,-2,0,-13,22359,914,1197,0,0,40.116,603,564,0,0,0,612.18899999999996,1126.02,251.70400000000001,20.946999999999999
2022-03-15 09:00:00,22367.800999999999,-5.1989999999999998,-2,0,-14,22389,914,1214,0,0,0,603,293,0,0,0,458.12099999999998,1436.2860000000001,489.90600000000001,20.896000000000001
2022-03-15 10:00:00,21574.935000000001,-5.0650000000000004,-2,0,-10,21592,913,1220,0,0,0,603,448,0,0,0,369.85300000000001,1646.502,493.57499999999999,18.834
2022-03-15 11:00:00,21448.415000000001,-5.0650000000000004,-2,0,-15,21470.48,913,1208,0,0,0.14999999999999999,603,807,0,0,0,225.47499999999999,1809.443,493.90300000000002,18.18
2022-03-15 12:00:00,21350.935000000001,-5.0650000000000004,-2,0,-19,21377,913,1224,0,0,0,603,875,0,0,0,132.53999999999999,1786.9259999999999,492.01900000000001,18.239999999999998
2022-03-15 13:00:00,21274.935000000001,-5.0650000000000004,-2,0,-18,21300,913,1218,0,0,0,603,738,0,0,0,163.56399999999999,1815.04,498.86000000000001,20.649000000000001
2022-03-15 14:00:00,21186.935000000001,-5.0650000000000004,-2,0,-13,21207,914,1207,0,0,0,603,976,0,0,0,275.84800000000001,1737.806,499.84699999999998,20.678999999999998
